Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,MOA No.
00A122-00,Insektizid,Pyrethrine,45.9,g/l,"",,"",0,3A
008500-60,Insektizid,Bacillus thuringiensis subsp. israelensis (Serotyp H-14) AM65-52 5.600.000.000.000cfu/l,123,g/l,"",,"",1,11A
005314-61,Insektizid,Spinosad,480,g/l,"",,"",0,5
00B307-00,Insektizid,Paecilomyces fumosoroseus Stamm Fe9901 500.000.000.000cfu/l,86,g/l,"",,"",1,
00B156-00,Insektizid,Spinosad,480,g/l,"",,"",0,5
007874-60,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
050879-00,Insektizid,Aluminiumphosphid,570,g/kg,"",,"",0,
043240-00,Insektizid,Aluminiumphosphid,570,g/kg,"",,"",0,
052569-60,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
050783-00,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
062470-62,Insektizid,Pirimicarb,500,g/kg,"",,"",0,1A
006387-62,Insektizid,lambda-Cyhalothrin,50,g/kg,"",,"",0,3A
006370-00,Insektizid,Pyrethrine,18.6,g/l,"",,"",0,3A
062470-00,Insektizid,Pirimicarb,500,g/kg,"",,"",0,1A
00A397-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
00A639-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
007474-00,Insektizid,Orangenöl,60,g/l,"",,"",0,
025395-00,Insektizid,Sulfurylfluorid,998,g/kg,"",,"",0,
00A947-00,Insektizid,Pyrethrine,18.61,g/l,"",,"",0,3A
024780-61,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-61,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
006408-62,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006278-00,Insektizid,Aluminiumphosphid,570,g/kg,"",,"",0,
00A580-00,Insektizid,Aluminiumphosphid,563.4,g/kg,"",,"",0,
00A580-60,Insektizid,Aluminiumphosphid,563.4,g/kg,"",,"",0,
00A580-61,Insektizid,Aluminiumphosphid,563.4,g/kg,"",,"",0,
00A580-62,Insektizid,Aluminiumphosphid,563.4,g/kg,"",,"",0,
006278-60,Insektizid,Aluminiumphosphid,570,g/kg,"",,"",0,
006278-61,Insektizid,Aluminiumphosphid,570,g/kg,"",,"",0,
024785-62,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-62,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
00A122-60,Insektizid,Pyrethrine,45.9,g/l,"",,"",0,3A
024785-60,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-60,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024426-65,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
00A001-00,Insektizid,Flupyradifurone,25,g/l,"",,"",0,4D
008485-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
005686-00,Insektizid,Acetamiprid,5,g/l,"",,"",0,4A
00A003-00,Insektizid,Pyrethrine,7,g/l,"",,"",0,3A
00A003-00,Insektizid,Rapsöl,700,g/l,"",,"",0,
00A004-00,Insektizid,Pyrethrine,7,g/l,"",,"",0,3A
00A004-00,Insektizid,Rapsöl,700,g/l,"",,"",0,
024436-84,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-79,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-88,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
00A003-60,Insektizid,Pyrethrine,7,g/l,"",,"",0,3A
00A003-60,Insektizid,Rapsöl,700,g/l,"",,"",0,
024436-78,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
026336-62,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
00A031-00,Insektizid,Piperonylbutoxid,300,g/l,"",,"",0,
00A031-00,Insektizid,Cypermethrin,100,g/l,"",,"",0,3A
006401-61,Insektizid,lambda-Cyhalothrin,50,g/l,"",,"",0,3A
00A568-00,Insektizid,Flonicamid,100,g/l,"",,"",0,29
00A513-00,Insektizid,Cypermethrin,300,g/l,"",,"",0,3A
008264-00,Insektizid,Flupyradifurone,200,g/l,"",,"",0,4D
00A701-00,Insektizid,Tefluthrin,5,g/kg,"",,"",0,3A
005314-00,Insektizid,Spinosad,480,g/l,"",,"",0,5
00A986-00,Insektizid,Spinosad,4,g/kg,"",,"",0,5
024785-71,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-71,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-65,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-65,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-00,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-00,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024436-82,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-89,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024780-60,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-60,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
024785-64,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-64,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-70,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-70,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024780-00,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-00,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
024785-80,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-80,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-66,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-66,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024436-83,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-91,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-92,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024068-60,Insektizid,Esfenvalerat,50,g/l,"",,"",0,
024068-00,Insektizid,Esfenvalerat,50,g/l,"",,"",0,
00B307-60,Insektizid,Paecilomyces fumosoroseus Stamm Fe9901 500.000.000.000cfu/l,86,g/l,"",,"",1,
026336-61,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
008274-00,Insektizid,Piperonylbutoxid,228,g/l,"",,"",0,
008274-00,Insektizid,Cypermethrin,80,g/l,"",,"",0,3A
007213-00,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
025691-00,Insektizid,Flonicamid,500,g/kg,"",,"",0,29
024436-86,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-85,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-90,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
004634-00,Insektizid,Etofenprox,287.5,g/l,"",,"",0,3A
006387-63,Insektizid,lambda-Cyhalothrin,50,g/kg,"",,"",0,3A
005314-60,Insektizid,Spinosad,480,g/l,"",,"",0,5
024436-80,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024080-61,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,"",,"",1,11A
00A929-00,Insektizid,Beauveria bassiana Stamm PPRI 5339 8.000.000.000.000cfu/l,80,g/l,"",,"",1,UNF
00A959-60,Insektizid,Flonicamid,500,g/kg,"",,"",0,29
008518-00,Insektizid,Cyantraniliprole,200,g/l,"",,"",0,28
026336-60,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
024426-00,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
024426-63,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
024426-62,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
024080-63,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,"",,"",1,11A
024426-61,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
