Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
006858-60,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0,2
034837-00,Herbizid,Flazasulfuron,250,g/kg,"",,"",0,2
00A448-00,Herbizid,Chlortoluron,280,g/l,"",,"",0,
00A448-00,Herbizid,Diflufenican,40,g/l,"",,"",0,12
00A448-00,Herbizid,Flufenacet,80,g/l,"",,"",0,15
008047-69,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-87,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-87,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A353-00,Herbizid,Essigsäure,60,g/l,"",,"",0,
00A354-00,Herbizid,Essigsäure,240,g/l,"",,"",0,
00A526-00,Herbizid,Clopyralid,300,g/l,Monoethanolamin-Salz,395.3,g/l,0,4
008582-00,Herbizid,Clopyralid,720,g/kg,Monoethanolamin-Salz,949.1,g/kg,0,4
00B181-00,Herbizid,Triclopyr,150,g/l,Butoxyethylester,209,g/l,0,4
00B181-00,Herbizid,Fluroxypyr,150,g/l,1-Methyl-heptylester,216,g/l,0,4
00A771-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.1,g/l,0,4
00A810-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00B250-00,Herbizid,Metamitron,696,g/l,"",,"",0,5
008193-00,Herbizid,Isoxaben,610,g/kg,"",,"",0,29
008193-00,Herbizid,Florasulam,40,g/kg,"",,"",0,2
028002-00,Herbizid,Quinmerac,250,g/l,"",,"",0,4
028002-00,Herbizid,Imazamox,12.5,g/l,"",,"",0,2
007777-61,Herbizid,Clomazone,360,g/l,"",,"",0,13
00A801-00,Herbizid,Clethodim,240,g/l,"",,"",0,1
006281-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.6,g/l,0,9
00B183-00,Herbizid,Glyphosat,540,g/l,IPA/K-Salz,698.5,g/l,0,9
007895-00,Herbizid,Clopyralid,600,g/l,Dimethylamin-Salz,741,g/l,0,4
007777-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
006924-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
008532-62,Herbizid,Clomazone,360,g/l,"",,"",0,13
044660-61,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A373-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A373-00,Herbizid,Florasulam,1,g/l,"",,"",0,2
00B114-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00B235-00,Herbizid,Napropamid,450,g/l,"",,"",0,
006324-00,Herbizid,Napropamid,187.5,g/l,"",,"",0,
006324-00,Herbizid,Dimethachlor,187.5,g/l,"",,"",0,15
006324-00,Herbizid,Clomazone,30,g/l,"",,"",0,13
