substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
Fluopicolide,"Grapes; Hops; Potatoes; Various vegetables including onions, roots and tubers",239110-15-7,"Environment: H400, H410",121,4.34 X 10 e-01,271,> 2250,> 5000,> 500,62.5,> 100,0.36,0.155,> 1.8,0.37,> 3.2,0.029,91.4
Fluopyram,"Potatoes; Sugarbeet; Fruit including apples, grapes and strawberries; Cotton; Soybean",658066-35-4,Environment: H411,18,4.46 X 10 e-01,309,> 2000,> 2000,> 1000,11.42,> 100,> 0.98,0.135,> 100,1.25,2.32,> 1.13,20.5
Fluoxastrobin,"Vegetables; Turf; Peanuts; Potatoes; Onions; Cereals including wheat, rye, triticale, barley, oats",361377-29-9,"Health: H317Environment: H400, H410",52.1,6.36 X 10 e-02,58.8,> 2000,> 2000,> 500,89,> 200,0.435,0.0286,0.48,0.18,> 6,0.35,29
Flupyradifurone,Vegetables; Fruits; Grapes; Date palm; Coffee; Cocoa,951659-40-8,"Health: H302, H373Environment: H400, H410, H412",-,1.77 X 10 e00,57.1,232,> 300,185.6,-,> 200,> 70.5,4.4,> 77.6,3.2,> 67.7,> 100,31.4
Fluroxypyr,"Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards",69377-81-7,Environment: H412,62.1,2.33 X 10 e-03,13.1,> 2000,> 2000,> 64.8,3.05,> 180,14.3,100,> 100,56,12.3,49.8,10.5
Flutianil,Grapevines; Ornamentals,958647-10-4,Environment: H410,339,5.35 X 10 e-03,286,> 2250,> 2000,> 500,6.25,> 100,> 0.870,0.000781,> 1.0,0.007,-,> 0.085,1.0
Flutolanil,"Potatoes; Rice; Turf; Cereals; Sugarbeet; Some ornamentals e.g. Tulip, Iris",66332-96-5,"Environment: H400, H410, H411",100,1.23 X 10 e-01,400,> 2000,> 10000,> 500,12.9,> 200,5.4,0.233,> 6.8,0.29,8,> 3.2,90.5
Fluxapyroxad,"Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato",907204-31-3,"Health: H362Environment: H400, H410",36,1.84 X 10 e-01,183,> 2000,> 2000,> 1000,21.3,> 100,0.466,0.036,6.78,0.5,2.19,0.70,4.4
Folpet,"Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals",133-07-3,"Health: H330, H318, H317, H372, H351Environment: H400, H410",56,1.48 X 10 e-03,9.0,> 2510,> 2000,> 500,3.84,> 100,0.015,0.011,0.02,0.002,-,> 0.161,0.02
Foramsulfuron,Corn; Golf courses; Lawns; Athletic fields; Recreational areas,173159-57-4,Environment: H412,Low risk,2.33 X 10 e-01,25.4,> 2000,> 5000,453,>= 2.75,> 100,> 100,10.5,100,> 100,0.001,8.1,25.2
