"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"034419-60","Serenva","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats","H317",300,1,20,0.0666666666666667,0.0545296935682509,0.463258928530632,0.584455288765549
"034560-81","Serraboss","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"007222-00","Setanta Flo","Propyzamid","Herbizid","Alfalfa; OSR; Beans; Root crops; Fruit including apples, blackberry, boysenberry, blueberry, cherry, peach, pear, plum, prunes, grapes and others; Artichoke; Clover; Endive and various head lettuce; Ornamentals; Non-cropped and utility sites","H351",300,1,70,0.233333333333333,0.0459849184587008,0.175801248865685,0.455119500657719
"026282-63","Sevadas","Amisulbrom","Fungizid","Potatoes; Tomatoes; Grapes; Curcubits; Bell peppers","H319,H351",300,1,85,0.283333333333333,0.0905679731451322,0.221193806298794,0.595095112777259
"005268-00","Shark","Carfentrazone","Herbizid","Potatoes; Cereals including barley, oats, tritical, wheat and durum wheat; Sports turf & golf-coures",NA,300,1,0,0,0.00442799291404457,0,0.00442799291404457
"008303-00","SHARPEN 33 EC","Pendimethalin","Herbizid","Wheat & other small grain cereals; Corn; Soybeans; Maize; Fruit; Vegetables including beans & peas, carrots; Turf & lawns; Potatoes; Vineyards; Peanuts","H304,H319",300,1,25,0.0833333333333333,0.0932352358403393,1.25308817520856,1.42965674438224
"026336-62","Shenzi 200 SC","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"00A031-00","SHERPA DUO","Piperonylbutoxid","Insektizid",NA,"EUH066,H302,H304,H319,H336",300,1,75,0.25,0.0160121460112556,0.068719921811102,0.334732067822358
"026282-62","Shinkon","Amisulbrom","Fungizid","Potatoes; Tomatoes; Grapes; Curcubits; Bell peppers","H319,H351",300,1,85,0.283333333333333,0.0905679731451322,0.221193806298794,0.595095112777259
"034092-00","Shirlan","Fluazinam","Fungizid","Peanuts; Potatoes; Grape vines; Fruit including citrus and apples; Crucifers","H317,H361d",300,1,90,0.3,1.02278565001661,0.704778126664918,2.02756377668153
"028533-61","Shlem","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H373",300,1,90,0.3,0.182571196233791,0.239940197403512,0.722511393637303
"006401-61","Shock DOWN","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables",NA,300,1,0,0,6.52795010296489,0.184392004250006,6.7123421072149
"00A568-00","Shoori","Flonicamid","Insektizid","Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables","EUH066,H317",300,1,30,0.1,0.00805312436863777,0.00128006105423418,0.109333185422872
"00A045-60","Shortcut XXL","Chlormequat","Wachstumsregler","Cereals including wheat, triticale, barley, rye; Ornamentals including geraniums, pelargoniums, poinsetta; vegetables including  tomatoes, cabbage, cauliflower, radish","H302,H312",300,1,25,0.0833333333333333,0.188582476639586,0.250294221985738,0.522210031958657
